model;outcome;spec;term;coefficient;effect_IRR;standard_error;confidence_interval;ci_low_IRR;ci_high_IRR;p_value;n_observations;interpretation
ITS-Poisson;COMPOSITE-6 (гипотеза);JUN;post;-0.06273;0.9392;0.08562;"[0.794; 1.111]";0.7941;1.1108;0.46376;122;скачок уровня, IRR=0.939
ITS-Poisson;COMPOSITE-6 (гипотеза);JUN;time_after;-0.02089;0.9793;0.004;"[0.972; 0.987]";0.9717;0.987;0.0;122;изменение тренда, IRR=0.979
ITS-Poisson;Манёвренные-5 (без телефона);JUN;post;-0.06402;0.938;0.09265;"[0.782; 1.125]";0.7822;1.1248;0.48959;122;скачок уровня, IRR=0.938
ITS-Poisson;Манёвренные-5 (без телефона);JUN;time_after;-0.02036;0.9798;0.00416;"[0.972; 0.988]";0.9719;0.9879;0.0;122;изменение тренда, IRR=0.980
ITS-Poisson;Нарушение разметки;JUN;post;0.10921;1.1154;0.15798;"[0.818; 1.520]";0.8184;1.5202;0.48939;122;скачок уровня, IRR=1.115
ITS-Poisson;Нарушение разметки;JUN;time_after;-0.03524;0.9654;0.00709;"[0.952; 0.979]";0.952;0.9789;0.0;122;изменение тренда, IRR=0.965
ITS-Poisson;Остановка/стоянка в неположенном месте;JUN;post;0.09001;1.0942;0.13705;"[0.836; 1.431]";0.8364;1.4314;0.51132;122;скачок уровня, IRR=1.094
ITS-Poisson;Остановка/стоянка в неположенном месте;JUN;time_after;0.0082;1.0082;0.00547;"[0.997; 1.019]";0.9975;1.0191;0.13383;122;изменение тренда, IRR=1.008
ITS-Poisson;Пересечение стоп-линии;JUN;post;-0.40932;0.6641;0.11586;"[0.529; 0.833]";0.5292;0.8334;0.00041;122;скачок уровня, IRR=0.664
ITS-Poisson;Пересечение стоп-линии;JUN;time_after;-0.00965;0.9904;0.00495;"[0.981; 1.000]";0.9808;1.0001;0.05137;122;изменение тренда, IRR=0.990
ITS-Poisson;Движение по обочине;JUN;post;-1.22359;0.2942;0.34531;"[0.150; 0.579]";0.1495;0.5788;0.00039;122;скачок уровня, IRR=0.294
ITS-Poisson;Движение по обочине;JUN;time_after;-0.00041;0.9996;0.01295;"[0.975; 1.025]";0.9745;1.0253;0.97483;122;изменение тренда, IRR=1.000
ITS-Poisson;Движение по выделенной полосе;JUN;post;-0.25029;0.7786;0.19;"[0.536; 1.130]";0.5365;1.1299;0.18774;122;скачок уровня, IRR=0.779
ITS-Poisson;Движение по выделенной полосе;JUN;time_after;-0.00943;0.9906;0.00545;"[0.980; 1.001]";0.9801;1.0013;0.08355;122;изменение тренда, IRR=0.991
ITS-Poisson;Телефон за рулём;JUN;post;-0.06097;0.9409;0.09861;"[0.775; 1.141]";0.7755;1.1415;0.53639;122;скачок уровня, IRR=0.941
ITS-Poisson;Телефон за рулём;JUN;time_after;-0.02407;0.9762;0.00434;"[0.968; 0.985]";0.9679;0.9846;0.0;122;изменение тренда, IRR=0.976
ITS-Poisson;[K] Превышение 20-40 км/ч;JUN;post;-0.0649;0.9372;0.03136;"[0.881; 0.997]";0.8813;0.9966;0.0385;122;скачок уровня, IRR=0.937
ITS-Poisson;[K] Превышение 20-40 км/ч;JUN;time_after;-0.00816;0.9919;0.00177;"[0.988; 0.995]";0.9884;0.9953;0.0;122;изменение тренда, IRR=0.992
ITS-Poisson;[K] Ремень безопасности;JUN;post;-0.2825;0.7539;0.18853;"[0.521; 1.091]";0.521;1.0909;0.13401;122;скачок уровня, IRR=0.754
ITS-Poisson;[K] Ремень безопасности;JUN;time_after;-0.0284;0.972;0.00449;"[0.963; 0.981]";0.9635;0.9806;0.0;122;изменение тренда, IRR=0.972
ITS-Poisson;[K] Платная дорога;JUN;post;-0.3071;0.7356;0.19508;"[0.502; 1.078]";0.5019;1.0782;0.11544;122;скачок уровня, IRR=0.736
